ID|이름|대사
301|프롤로그|먼 옛날, 신과 인간이 함께 살아가는 시대 
|프롤로그|생명이 있는 모든 존재들은 음악을 사랑했다.
302|프롤로그|특히 '락'이라는 장르는 ‘신 들렸다!’ 라는 표현이 사용될 정도로 이들이 가장 좋아하는 음악 장르였다.
|프롤로그|대 락의 시대에서 가장 사랑받는 이는 바로 락의 신 '락르페우스'였다.
303|프롤로그|그가 공연하는 곳마다 많은 사람들이 모였으며 심지어는 바위와 요정도 그의 공연을 보러왔다.
|프롤로그|그는 자신의 아내인 음향의 요정 '엠프리디케'와 서로 사랑을 하며 숲 속에 살고 있었고
|프롤로그|곧 열릴 천하제일 락 대회를 준비 중이였다…
304|엠프리디케|여보~ 정령과 요정들에게 락 대회를 준비하기 위한 조언들을 좀 듣고 올게~
305|락르페우스|조심히 다녀와~ 오늘 저녁은 내가 준비할테니까 얼른 돌아와야해!
306|엠프리디케|응! 맛있는 밥 기대할게~
307|락르페우스|흠.. 슬슬 엠프리디케가 올때가 됐는데…
||왜 오지 않지..?
308|-|그의 불안함은 틀리지 않았다.
309|락르페우스|엠프리디케! 무슨일이야! 어떻게 된거야!!
310|엠프리디케|저 하얀 독사가... 나를…
||몸에 힘이 빠지는데.. 나 혹시 죽는걸.. 까..?
311|락르페우스|그런 말 하지마 여보. 내가 당장 의사를…
312|엠프리디케|락르페우스... 
313|-|엠프리디케의 눈이 감겼다.
||그녀의 몸에서 나온 영혼이 하늘로 떠올라 숲 위로 멀리 나아갔다.
||이내 락르페우스는 엠프리디케의 죽음을 직감하고 절규했다.
314|락르페우스|안돼 !!!!!!!!!
||이건 말도 안되는 일이야!!
||엠프리디케가… 내 곁을 떠나다니…
315|-|슬픔에 찬 락르페우스의 연주가 숲 속에 울려퍼지자 많은 생명체들이 그 음악에 반응했다.
316|나무|락르페우스. 무슨 일이 있길래 이렇게 슬픈 음악을 연주하는거야? 동물들이 아주 난리야.
317|락르페우스|… 내 아내 엠프리디케가 하얀 독사에게 물려 그만…
318|나무|이런… 그랬구나… 그렇다면 하데스를 찾아가보는게 어때?
||영혼들은 전부 지하세계의 하데스가 관리하고 있거든.
319|락르페우스|!!!
||지하세계로 가면 엠프리디케를 찾을 수 있는건가? 지하세계는 어디로 가지?
320|나무|음... 숲 끝에 하데스의 신전이 있다고 들었어. 
||그 곳으로 가면 하데스와 만날 수 있지 않을까?
321|락르페우스|정말 고마워! 당장 출발해야겠어!
21|락르페우스|내 슬픈 음악이 숲의 동물들을 화나게 만들었나?
22|락르페우스|저 앞에 뭔가 보이는 것 같아.
23|락르페우스|여기가 하데스의 신전인가...? 무슨 성같군.
||아니 감탄할 때가 아니지. 얼른 하데스를 찾아야 해.
24|락르페우스|앗, 저게 뭐지?
